"%s API Call | %s","%s Chiamata API | %s"
"* Required Fields","* Campi obbligatori"
"--- Select object ---","--- Seleziona oggetto ---"
"--- Select reason code ---","--- Seleziona codice motivo ---"
"--- Select state to simulate ---","--- Seleziona stato da simulare ---"
"-OR-","-O-"
"... or enter your Amazon Payments account information manually","... o inserisci manualmente i dati del tuo conto Amazon Payments"
"1 day","1 giorno"
"1 hour","1 ora"
"10 minutes","10 minuti"
"12 hours","12 ore"
"14 days","14 giorni"
"15 days","15 giorni"
"15 minutes","15 minuti"
"2 days","2 giorni"
"2 hours","2 ore"
"3 days","3 giorni"
"30 days","30 giorni"
"30 minutes","30 minuti"
"4 hours","4 ore"
"5 minutes","5 minuti"
"7 days","7 giorni"
"8 hours","8 ore"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">Estensioni creativestyle</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Clicca per rivelare la configurazione di </span>%s"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Clicca per rivelare la tua </span>configurazione di Amazon Seller Central"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","<strong>Amazon Pay</strong> ti aiuta a fare acquisti in modo rapido e sicuro. Puoi pagare sul nostro sito web senza dover inserire nuovamente i tuoi dati."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","<strong>Amazon Pay</strong> ti aiuta a fare acquisti in modo rapido e sicuro. Puoi pagare sul nostro sito web senza dover inserire nuovamente i tuoi dati. Tutte le transazioni Amazon sono protette dalla garanzia dalla A alla Z di Amazon."
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Un addebito di %s è stato elaborato da Amazon Payments (%s). Il nuovo stato è %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Un rimborso di %s è stato elaborato da Amazon Payments (%s). Il nuovo stato è %s."
"Access Key ID","Numero chiave d'accesso"
"Account credentials","Credenziali account"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Le informazioni sul conto sono disponibili <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">qui</a>"
"Action","Azione"
"Activates plugin logging mechanism.","Attiva il meccanismo di registrazione del plug-in."
"Add New","Aggiungi nuovo"
"Address widget height","Altezza widget indirizzo"
"Address widget width","Larghezza widget indirizzo"
"Allow your customers to sign in to your website using their Amazon credentials","Consenti ai clienti di accedere al tuo sito web utilizzando le credenziali di Amazon."
"Allowed IPs (comma separated)","IP consentiti (separati da virgola)"
"Allowed JavaScript Origins","Sorgenti JavaScript consentite"
"Allowed Return URLs","URL restituiti consentiti"
"Amazon Cronjobs","Cron job Amazon"
"Amazon logo","Logo Amazon"
"Amazon Order Reference ID: %s","N. di riferimento ordine Amazon: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","N. di riferimento ordine Amazon: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
"Amazon Pay and Login with Amazon","Amazon Pay e Accedi con Amazon"
"Amazon Pay and Login with Amazon settings","Impostazioni Amazon Pay e Accedi con Amazon"
"Amazon Pay API Call","Chiamata API Amazon Pay"
"Amazon Pay API Calls","Chiamate API Amazon Pay"
"Amazon Pay Exception","Eccezione Amazon Pay"
"Amazon Pay Exception | %s","Eccezione Amazon Pay | %s"
"Amazon Pay Exceptions","Eccezioni Amazon Pay"
"Amazon Payments Account","Conto Amazon Payments"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Un'autorizzazione di %s è stata elaborata da Amazon Payments (%s). Il nuovo stato è %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Un ordine di %s è stato elaborato da Amazon Payments (%s). Il nuovo stato è %s."
"API Call details","Dettagli chiamata API"
"Appearance Settings","Impostazioni dell'aspetto"
"Appearance Settings for Amazon Pay and Login with Amazon","Impostazioni dell'aspetto per Amazon Pay e Accedi con Amazon"
"Appearance Settings for standalone Amazon Pay","Impostazioni dell'aspetto per Amazon Pay"
"Asynchronous","Asincrono"
"Authentication Experience","Esperienza di autenticazione"
"Authorization processing","Elaborazione dell'autorizzazione"
"Authorization Processing Mode","Modalità di elaborazione dell'autorizzazione"
"Authorize","Autorizza"
"Authorize & capture","Autorizza e acquisisci"
"Auto","Automatico"
"Back","Indietro"
"Backend / order processing","Backend / elaborazione degli ordini"
"Button color","Colore pulsante"
"Button size","Dimensione pulsante"
"Button type","Tipo pulsante"
"By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop.","Selezionando Accedi con Amazon, ti verrà chiesto di accedere in modo sicuro al tuo account Amazon senza uscire dalla pagina del negozio."
"Cancel","Annulla"
"Choose between the popup authentication screen and a redirect to an Amazon Pay authentication page. To have popup or redirect set automatically according to your customer's display size, choose automatic.","Scegli tra la schermata di autenticazione pop-up e il reindirizzamento a una pagina di autenticazione di Amazon Pay. Per impostare automaticamente il pop-up o il reindirizzamento in base alle dimensioni dello schermo del cliente, seleziona automatico."
"Choose the currency associated with your Amazon Payments merchant account (your ledger currency)","Scegli la valuta associata al tuo account venditore Amazon Payments (la tua valuta principale)"
"Choose your payment region and click to quick-register.","Scegli la tua regione per i pagamenti e clicca per la registrazione veloce."
"Client ID","ID cliente"
"Code","Codice"
"Common Appearance Settings","Impostazioni aspetto generale"
"Communication","Comunicazione"
"Configuration","Configurazione"
"Congratulations! Your Amazon Payments account settings seem to be OK.","Congratulazioni! Le impostazioni del tuo conto Amazon Payments sono corrette."
"Copy your keys from Seller Central (JSON) and paste them here","Copia le chiavi da Seller Central (JSON) e inseriscile qui"
"creativestyle Extensions","Estensioni creativestyle"
"Currently, you can use your Amazon account to log into your shop account. In order to remove the connection to your Amazon account click on ""Disconnect"".","Al momento puoi utilizzare il tuo account Amazon per accedere all'account del negozio. Per rimuovere la connessione con il tuo account Amazon fai click su ""Disconnetti""."
"Dark gray","Grigio scuro"
"Data polling frequency","Frequenza Data pooling"
"Date","Data"
"Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards.","Gentile Cliente, sembra che hai già un account in questo negozio. Ti invitiamo ad inserire la password del tuo account cliente per assicurarti di essere l'utente autorizzato di questo account. Questo non verra richiesto in futuro."
"Debug data","Dati di debug"
"Declined Payment Email Sender","Mittente e-mail pagamento rifiutato"
"Declined Payment Email Template","Modello e-mail pagamento rifiutato"
"Developer Options","Opzioni sviluppatori"
"Developer options","Opzioni sviluppatore"
"Disconnect","Disconnetti"
"Display Language","Lingua visualizzata"
"Display language","Lingua visualizzata"
"Display name on bank account statement","Visualizza il nome sull'estratto conto bancario"
"Display on Product Details Page","Mostra sulla pagina prodotto"
"Don't have a merchant account yet? Register here","Non hai ancora un account venditore? Registrati qui"
"Download as CSV","Scarica come CSV"
"E-mail templates","Modelli di e-mail"
"Each logfile will be rotated when it exceeds size of 8 Megabytes","Ogni file di log verrà ruotato quando supera le dimensioni di 8 Megabyte."
"Email Options","Opzioni e-mail"
"Email template to be sent when a transaction was declined because of an invalid payment instrument","Modello di e-mail da inviare quando una transazione viene rifiutata a causa di uno strumento di pagamento non valido"
"Enable","Abilitato"
"Enable Amazon Pay","Abilita Amazon Pay"
"Enable Instant Payment Notifications","Abilita Notifiche di pagamento instantaneo"
"Enable logging","Abilita la registrazione"
"Enable Login with Amazon","Abilita Accedi con Amazon"
"English","Inglese"
"Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400.","Inserisci un valore compreso tra 200 e 600 pixel. Per widget di una sola colonna, inserisci una larghezza inferiore a 400."
"Enter a value between 228 and 400 pixels","Inserisci un valore compreso tra 228 e 400 pixel"
"ERP mode","Modalità ERP"
"Eurozone","Area dell'Euro"
"Event Observers","Osservatori attività"
"Exception code","Codice eccezione"
"Exception details","Dettagli eccezione"
"Exception message","Messaggio eccezione"
"Expert Mode","Modalità esperto"
"Extension documentation","Documentazione estensioni"
"Extracted XML message","Messaggio XML estratto"
"French","Francese"
"Frontend","Frontend"
"General Info","Informazioni generali"
"General Settings","Impostazioni generali"
"German","Tedesco"
"Germany","Germania"
"Gold","Oro"
"In Sandbox Mode you can simulate certain states of selected payment objects.","In modalità sandbox puoi simulare determinati stati di oggetti di pagamento selezionati."
"Installed Magento extensions","Estensioni Magento installate"
"Installed PHP modules","Moduli PHP installati"
"Invalid password","Password non valida"
"Invalid payment method","Metodo di pagamento non valido"
"IPN %s | %s","IPN %s | %s"
"IPN endpoint URL","URL endpoint IPN"
"IPN Notification","Notifica IPN"
"IPN Notifications","Notifiche IPN"
"Italian","Italiano"
"Large","Grande"
"Leave empty for access from any location","Lascia vuoto per consentire l'accesso da qualsiasi posizione"
"Light gray","Grigio chiaro"
"Login","Accesso"
"Login with Amazon","Accedi con Amazon"
"Magento Settings","Impostazioni Magento"
"Manual authorization","Autorizzazione manuale"
"Marketplace","Marketplate"
"Medium","Medio"
"Merchant ID","Numero venditore"
"Message","Messaggio"
"More about <em>creativestyle</em>","Maggiori informazioni su <em>creativestyle</em>"
"New order status","Nuovo stato ordine"
"Next page","Pagina successiva"
"No, use data polling instead","No, usa data polling"
"Notification type","Tipo di notifica"
"of %s pages","di %s pagine"
"Operation mode","Modalità operativa"
"Optimized","Ottimizzata"
