"Name on Card","Nombre en la tarjeta"
"Card Number","Número de la tarjeta"
"Expiration Date","Fecha de caducidad"
"Card Verification Number","Código de verificación"
"What is this?","¿Qué es esto?"
"Sorry, this payment method can not be used at the moment. Try again later.","Lo siento, este método de pago no se puede usar en este momento. Inténtalo más tarde."
"Customer was refunded the amount of ","Al cliente se le ha hecho una devolución de "
"Could not refund payment: ","No se pudo realizar la devolución: "
"Incorrect credit card expiration date.","La fecha de caducidad de la tarjeta es incorrecta."
"Please enter a valid credit card number.","Por favor, introduce un número de tarjeta válido."
"Your card's expiration date is incorrect.","La fecha de caducidad de tu tarjeta es incorrecto."
"Your card was declined.","Tu tarjeta fue rechazada."
"Your card's security code is invalid.","El código de seguridad de tu tarjeta es inválido."
"The zip code you supplied failed validation.","El código postal que has facilitado no ha pasado la validación."
"An error occurred while processing your card. Try again in a little bit.","Ocurrió un error al procesar tu tarjeta. Inténtalo de nuevo en unos minutos."
"Could not set up customer profile: ","No se pudo establecer un perfil de cliente: "
"Could not retrieve customer profile.","No se pudo recuperar el perfil del cliente."
"Could not retrieve customer profile: ","No se pudo recuperar el perfil del cliente: "
"ending in","****"
"ending","****"
"expires","cad."
"American Express","AmEx"
"Use a new card","Usa una tarjeta nueva"
"Disabled","Desactivado"
"Enabled","Activado"
"Test","Test"
"Live","Live"
"Authorize Only","Solo autoriza"
"Authorize and Capture","Autoriza y Procesa"
"Saved Cards","Mis tarjetas guardadas"
"Select cards to remove","Seleccionar tarjetas para eliminar"
"Save card for future purchases","Guardar tarjeta para compras futuras"
"Card","Tarjeta"
"This order has already been refunded in Stripe. To refund from Magento, please refund it offline.","Ya se ha realizado una devolución para este pedido en Stripe. Para realizar una devolución desde Magento, por favor realiza la devolución offline."
"The authorization has expired and the customer has no saved cards to re-create the order.","La autorización ha caducado y el cliente no tiene tarjetas guardadas para re-crear el pedido."
"You have no saved cards.","No tienes tarjetas guardadas."
"Street Check","Comprobación de calle"
"Zip Check","Comprobación de código postal"
"CVC Check","Comprobación de CVC"
"Add new card","Añadir nueva tarjeta"
"Sorry, the card could not be added!","Lo siento, no se pudo añadir la tarjeta!"
"Accepted Card Types","Tipos de tarjeta aceptados"
"Sorry, we could not perform a card security check. Please contact us to complete your purchase.","Lo siento, no pudimos realizar una comprobación de seguridad de la tarjeta. Por favor, comtacta con nosotros para completar tu compra."
"Could not use card: Your bank requires additional authentication.","No se pudo usar la tarjeta: Tu banco requiere autorización adicional."
"The purchase could not be completed because no address details were provided","El pedido no pudo ser completado porque no se facilitaron detalles de la dirección"
"Please specify the cardholder name.","Por favor, especifica el nombre del titular de la tarjeta."
"Please specify a card number.","Por favor, espefifica un número de tarjeta."
"Please specify the card CVC number.","Por favor, especifica un el CVC de la tarjeta."
"Please specify the card expiration month.","Por favor, espefifica el més de caducidad de la tarjeta."
"Please specify the card expiration year.","Por favor, espefifica el año de caducidad de la tarjeta."
"Enter your card details:","Introduce los datos de tu tarjeta:"
"Sorry, 3D Secure authentication could not be used with your card. Please contact us for help.","lo siento, la autentificación 3D no pudo ser utilizada con esta tarjeta. Por favor contacta con nosotros para recibir ayuda."
"Sorry, we could not initiate a card authentication with your bank.","lo siento, no pudimos iniciar una autentificación de la tarjeta con tu banco."
"The card could not be saved.","La tarjeta no se pudo guardar."
"This type of payment source can not be saved.","Este tipo de método de pago no puede ser guardado."
"Selected Card","Tarjeta seleccionada"
"Your card details are protected using PCI DSS v3.2 security standards.","Los detalles de tu tarjeta están protegidos usando los standares de seguridad PCI DSS v3.2"
"The source you provided is not in a chargeable state.","lo siento, parece que tu tarjeta is not inscrita en '3D secure' con tu banco. Por motivos de seguridad, por favor, utiliza otra tarjeta."
"Sorry, your order has been cancelled because of a technical problem on our side. Please contact us to place your order again.","Lo siento, tu pedido ha sido cancelado por un problema técnido de nuestro lado. Por favor, ponte en contacto con nosotros para volver a realizar el pedido."
"Your order has been cancelled because the card 3D Secure authorization failed.","Tu pedido ha sido cancelado porque la autorización '3D secure' de tu tarjeta ha fallado."
"Your order has been cancelled. The card 3D Secure authorization succeeded, however your bank declined the payment when a charge was attempted.","Tu pedido ha sido cancelado. La autorización '3D secure' fue exitosa, sin embargo tu banco rechazo el pago cuando se intento realizar un cargo."
"By signing this mandate form, you authorise (A) %s to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %s. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","Mediante la firma de esta orden de domiciliación, el deudor autoriza a (A) %s a enviar instrucciones a la entidad del deudor para adeudar su cuenta y (B) a la entidad para efectuar los adeudos en su cuenta siguiendo las instrucciones de %s. Como parte de sus derechos, el deudor está legitimado al reembolso por su entidad en los términos y condiciones del contrato suscrito con la misma. La solicitud de reembolso deberá efectuarse dentro de las ocho semanas que siguen a la fecha de adeudo en cuenta."
