"%s API Call | %s","%s Llamada API | %s"
"* Required Fields","* Campos obligatorios"
"--- Select object ---","--- Seleccionar objeto ---"
"--- Select reason code ---","--- Seleccionar código de razón ---"
"--- Select state to simulate ---","--- Seleccionar estado a simular ---"
"-OR-","-O BIEN-"
"... or enter your Amazon Payments account information manually","... o introduce los datos de tu cuenta de Amazon Payments manualmente"
"1 day","1 día"
"1 hour","1 hora"
"10 minutes","10 minutos"
"12 hours","12 horas"
"14 days","14 días"
"15 days","15 días"
"15 minutes","15 minutos"
"2 days","2 días"
"2 hours","2 horas"
"3 days","3 días"
"30 days","30 días"
"30 minutes","30 minutos"
"4 hours","4 horas"
"5 minutes","5 minutos"
"7 days","7 días"
"8 hours","8 horas"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Haz clic para revelar la configuración de </span>%s"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Haz clic para revelar tu </span>configuración de Amazon Seller Central"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","Con <strong>Amazon Pay</strong> puedes comprar rápido, de manera efectiva y segura. Puedes pagar en nuestra página sin tener que volver a introducir tu dirección y datos de pago."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","Con <strong>Amazon Pay</strong> puedes comprar rápido, de manera efectiva y segura. Puedes pagar en nuestra página sin tener que volver a introducir tu dirección y datos de pago. Las transacciones con Amazon están protegidas por la Garantía de la A a la Z"
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Una captura de %s ha sido procesada por Amazon Payments (%s). El nuevo estado es %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Amazon Payments (%s) ha procesado un reembolso de %s. El nuevo estado es %s."
"Access Key ID","ID de clave de acceso"
"Account credentials","Credenciales de cuenta"
